nouns	verbs	adjectives	avgsyllables	avgwordlength	Outcome
4	0	2	2	7	yes
4	0	1	2	6	no
10	6	3	1	4	no
5	4	6	2	6	yes
14	5	5	1	4	no
6	1	1	2	5	no
6	3	2	2	5	yes
6	2	3	2	5	no
5	3	2	2	5	no
1	2	1	2	5	yes
6	5	2	2	6	no
5	2	5	2	5	yes
7	2	3	2	6	yes
5	2	3	2	5	no
3	2	3	2	6	no
5	6	4	2	5	yes
8	2	4	2	5	no
2	4	4	2	6	no
9	6	5	2	5	no
6	3	6	2	5	no
6	5	3	2	4	no
6	5	3	2	4	None
4	0	2	2	7	None
4	0	1	2	6	None
10	6	3	1	4	None
5	4	6	2	6	None
14	5	5	1	4	None
6	1	1	2	5	None
6	3	2	2	5	None
6	2	3	2	5	None
5	3	2	2	5	None
1	2	1	2	5	None
6	5	2	2	6	None
5	2	5	2	5	None
7	2	3	2	6	None
5	2	3	2	5	None
3	2	3	2	6	None
5	6	4	2	5	None
8	2	4	2	5	None
2	4	4	2	6	None
9	6	5	2	5	None
6	3	6	2	5	None
6	5	3	2	4	None
